city;county;region;latitude;longitude
Dolnı Štál;Dunajská Streda;Trnavskı;47.9354872;17.7152825
Dunajská Streda;Dunajská Streda;Trnavskı;47.9893088;17.6201419
Dunajskı Klátov;Dunajská Streda;Trnavskı;48.0326901;17.6923812
Gabèíkovo;Dunajská Streda;Trnavskı;47.8951059;17.5781248
Holice;Dunajská Streda;Trnavskı;47.995787;17.4844149
Horná Potôò;Dunajská Streda;Trnavskı;48.0398752;17.5001658
Horné Mıto;Dunajská Streda;Trnavskı;48.0110295;17.7511796
Hornı Bar;Dunajská Streda;Trnavskı;47.9478198;17.4637369
Hubice;Dunajská Streda;Trnavskı;48.0961007;17.3965567
Hviezdoslavov;Dunajská Streda;Trnavskı;48.0669385;17.3489811
Jahodná;Dunajská Streda;Trnavskı;48.050525;17.7049589
Janíky;Dunajská Streda;Trnavskı;48.1428001;17.3948095
Jurová;Dunajská Streda;Trnavskı;47.9349144;17.5220539
K¾úèovec;Dunajská Streda;Trnavskı;47.7942078;17.7171631
Kostolné Kraèany;Dunajská Streda;Trnavskı;47.9840542;17.5745907
Krá¾ovièove Kraèany;Dunajská Streda;Trnavskı;47.9868241;17.551855
Kútniky;Dunajská Streda;Trnavskı;47.9749631;17.6596926
Kvetoslavov;Dunajská Streda;Trnavskı;48.0552073;17.3470417
Kyselica;Dunajská Streda;Trnavskı;47.9860045;17.3896046
Lehnice;Dunajská Streda;Trnavskı;48.0511295;17.4578988
Lúè na Ostrove;Dunajská Streda;Trnavskı;47.9751358;17.5202839
Macov;Dunajská Streda;Trnavskı;48.0205885;17.4310376
Mad;Dunajská Streda;Trnavskı;47.95202;17.6606368
Malé Dvorníky;Dunajská Streda;Trnavskı;48.02032;17.6510919
Medveïov;Dunajská Streda;Trnavskı;47.8000105;17.6607602
Mierovo;Dunajská Streda;Trnavskı;48.0694369;17.3858373
Michal na Ostrove;Dunajská Streda;Trnavskı;48.0239372;17.5113977
Òárad;Dunajská Streda;Trnavskı;47.834741;17.6130145
Novı ivot;Dunajská Streda;Trnavskı;48.1222427;17.4650633
Ohrady;Dunajská Streda;Trnavskı;47.9898028;17.6994151
Okoè;Dunajská Streda;Trnavskı;47.886638;17.8090464
O¾dza;Dunajská Streda;Trnavskı;48.0856867;17.4203116
Orechová Potôò;Dunajská Streda;Trnavskı;48.0173859;17.530205
Padáò;Dunajská Streda;Trnavskı;47.9278705;17.6840771
Pataš;Dunajská Streda;Trnavskı;47.8745169;17.6532283
Potônske Lúky;Dunajská Streda;Trnavskı;48.0929968;17.5896319
Povoda;Dunajská Streda;Trnavskı;47.9731243;17.6386384
Rohovce;Dunajská Streda;Trnavskı;47.9969292;17.4095607
Sap;Dunajská Streda;Trnavskı;47.8221556;17.6157716
Šamorín;Dunajská Streda;Trnavskı;48.0275832;17.3115709
Štvrtok na Ostrove;Dunajská Streda;Trnavskı;48.098497;17.3545856
Topo¾níky;Dunajská Streda;Trnavskı;47.9661243;17.7832137
Trhová Hradská;Dunajská Streda;Trnavskı;47.9882576;17.7495316
Trnávka;Dunajská Streda;Trnavskı;48.0137714;17.4056347
Trstená na Ostrove;Dunajská Streda;Trnavskı;47.9170349;17.501958
Ve¾ká Paka;Dunajská Streda;Trnavskı;48.0392892;17.4077885
Ve¾ké Blahovo;Dunajská Streda;Trnavskı;48.01158;17.5784956
Ve¾ké Dvorníky;Dunajská Streda;Trnavskı;48.0000095;17.6527575
Ve¾kı Meder;Dunajská Streda;Trnavskı;47.8557806;17.7693671
Vieska;Dunajská Streda;Trnavskı;48.0034905;17.528454
Vojka nad Dunajom;Dunajská Streda;Trnavskı;47.9748546;17.384027
Vrakúò;Dunajská Streda;Trnavskı;47.937546;17.6039197
Vydrany;Dunajská Streda;Trnavskı;48.0170341;17.5856348
Zlaté Klasy;Dunajská Streda;Trnavskı;48.1300035;17.4319116
Abrahám;Galanta;Trnavskı;48.2479831;17.6194193
Èierna Voda;Galanta;Trnavskı;48.1287382;17.654555
Èierny Brod;Galanta;Trnavskı;48.1534376;17.662851
Dolná Streda;Galanta;Trnavskı;48.2566637;17.7438507
Dolné Saliby;Galanta;Trnavskı;48.0948977;17.7979191
Dolnı Chotár;Galanta;Trnavskı;47.9946887;17.860851
Galanta;Galanta;Trnavskı;48.1910498;17.7270629
Gáò;Galanta;Trnavskı;48.2319271;17.7186226
Horné Saliby;Galanta;Trnavskı;48.1119589;17.7413975
Hoste;Galanta;Trnavskı;48.2604202;17.6401439
Jánovce;Galanta;Trnavskı;48.1834348;17.5299118
Jelka;Galanta;Trnavskı;48.145206;17.5068773
Kajal;Galanta;Trnavskı;48.1855384;17.7863393
Košúty;Galanta;Trnavskı;48.1715682;17.6582033
Krá¾ov Brod;Galanta;Trnavskı;48.0482806;17.8513377
Malá Maèa;Galanta;Trnavskı;48.2295729;17.6455195
Matúškovo;Galanta;Trnavskı;48.1666667;17.7333333
Mostová;Galanta;Trnavskı;48.1401623;17.6785943
Pata;Galanta;Trnavskı;48.278118;17.8340501
Pusté Sady;Galanta;Trnavskı;48.3113669;17.8201531
Pusté Ú¾any;Galanta;Trnavskı;48.22185;17.5701601
Sereï;Galanta;Trnavskı;48.28845;17.7221491
Sládkovièovo;Galanta;Trnavskı;48.2036149;17.6284006
Šalgoèka;Galanta;Trnavskı;48.3342651;17.8147076
Šintava;Galanta;Trnavskı;48.2828836;17.7650607
Šoporòa;Galanta;Trnavskı;48.2541958;17.8179195
Tomášikovo;Galanta;Trnavskı;48.0811834;17.6941428
Topo¾nica;Galanta;Trnavskı;48.1664691;17.7951529
Trstice;Galanta;Trnavskı;48.0158466;17.8045595
Váhovce;Galanta;Trnavskı;48.25;17.7833333
Ve¾ká Maèa;Galanta;Trnavskı;48.2420936;17.6924901
Ve¾ké Ú¾any;Galanta;Trnavskı;48.1498269;17.5813753
Ve¾kı Grob;Galanta;Trnavskı;48.249147;17.5159589
Vinohrady nad Váhom;Galanta;Trnavskı;48.3166995;17.7729163
Vozokany;Galanta;Trnavskı;48.0956663;17.7067968
Zemianske Sady;Galanta;Trnavskı;48.330342;17.8309801
Bojnièky;Hlohovec;Trnavskı;48.39214;17.7968409
Èerveník;Hlohovec;Trnavskı;48.4599182;17.7563015
Dolné Otrokovce;Hlohovec;Trnavskı;48.4663681;17.9118722
Dolné Trhovište;Hlohovec;Trnavskı;48.4428334;17.9085462
Dolné Zelenice;Hlohovec;Trnavskı;48.3809594;17.7494455
Dvorníky;Hlohovec;Trnavskı;48.354814;17.79374
Hlohovec;Hlohovec;Trnavskı;48.4278838;17.798782
Horné Otrokovce;Hlohovec;Trnavskı;48.4885164;17.8839936
Horné Trhovište;Hlohovec;Trnavskı;48.4699495;17.8715288
Horné Zelenice;Hlohovec;Trnavskı;48.3925212;17.746637
Jalšové;Hlohovec;Trnavskı;48.5073617;17.8289142
K¾aèany;Hlohovec;Trnavskı;48.3894586;17.8727907
Koplotovce;Hlohovec;Trnavskı;48.476163;17.8076503
Leopoldov;Hlohovec;Trnavskı;48.4453126;17.7732646
Madunice;Hlohovec;Trnavskı;48.4828807;17.7830028
Merašice;Hlohovec;Trnavskı;48.4630144;17.9455646
Pastuchov;Hlohovec;Trnavskı;48.4255852;17.8769449
Ratkovce;Hlohovec;Trnavskı;48.4677259;17.719664
Sasinkovo;Hlohovec;Trnavskı;48.3706697;17.8519422
Siladice;Hlohovec;Trnavskı;48.3579717;17.7435202
Tekolïany;Hlohovec;Trnavskı;48.4923833;17.9047549
Teplièky;Hlohovec;Trnavskı;48.465653;17.852746
Trakovice;Hlohovec;Trnavskı;48.4389767;17.7110337
lkovce;Hlohovec;Trnavskı;48.4594449;17.7179419
Banka;Piešany;Trnavskı;48.5781773;17.8612556
Bašovce;Piešany;Trnavskı;48.6331003;17.7972932
Borovce;Piešany;Trnavskı;48.5741822;17.745565
Dolnı Lopašov;Piešany;Trnavskı;48.5891211;17.6331549
Drahovce;Piešany;Trnavskı;48.5183461;17.7985046
Dubovany;Piešany;Trnavskı;48.5306833;17.7344537
Ducové;Piešany;Trnavskı;48.6304275;17.8656614
Hubina;Piešany;Trnavskı;48.6069463;17.9377518
Chtelnica;Piešany;Trnavskı;48.5691084;17.623391
Koèín - Lanèár;Piešany;Trnavskı;48.5981827;17.6551002
Krakovany;Piešany;Trnavskı;48.6210421;17.748593
Moravany nad Váhom;Piešany;Trnavskı;48.6006864;17.8780461
Niná;Piešany;Trnavskı;48.5279487;17.6534407
Ostrov;Piešany;Trnavskı;48.6317959;17.764225
Peèeòady;Piešany;Trnavskı;48.4831343;17.7192682
Piešany;Piešany;Trnavskı;48.5895247;17.8213848
Prašník;Piešany;Trnavskı;48.651299;17.6871283
Rakovice;Piešany;Trnavskı;48.5704792;17.7063641
Ratnovce;Piešany;Trnavskı;48.5574818;17.8373877
Sokolovce;Piešany;Trnavskı;48.5366358;17.8428916
Šípkové;Piešany;Trnavskı;48.6568957;17.7185691
Šterusy;Piešany;Trnavskı;48.6010495;17.6797545
Trebatice;Piešany;Trnavskı;48.5963473;17.7497006
Ve¾ké Kosto¾any;Piešany;Trnavskı;48.5137219;17.7029403
Ve¾ké Orvište;Piešany;Trnavskı;48.6201299;17.7899853
Veselé;Piešany;Trnavskı;48.557273;17.7078402
Vrbové;Piešany;Trnavskı;48.6188831;17.7109263
Bílkove Humence;Senica;Trnavskı;48.5898445;17.242819
Borskı Mikuláš;Senica;Trnavskı;48.6248267;17.2416452
Borskı Svätı Jur;Senica;Trnavskı;48.5981979;17.0748891
Cerová;Senica;Trnavskı;48.5829226;17.3788682
Èáry;Senica;Trnavskı;48.6666927;17.0813026
Èastkov;Senica;Trnavskı;48.7465252;17.3540711
Dojè;Senica;Trnavskı;48.6840441;17.261289
Hlboké;Senica;Trnavskı;48.6381299;17.4092632
Hradište pod Vrátnom;Senica;Trnavskı;48.62505;17.4948527
Jablonica;Senica;Trnavskı;48.5980311;17.4377604
Koválov;Senica;Trnavskı;48.7043477;17.2813154
Kuklov;Senica;Trnavskı;48.6259861;17.0867115
Kúty;Senica;Trnavskı;48.659495;17.0110812
Lakšárska Nová Ves;Senica;Trnavskı;48.5773238;17.1801249
Moravskı Svätı Ján;Senica;Trnavskı;48.5694292;16.987751
Osuské;Senica;Trnavskı;48.62421;17.4404608
Plaveckı Peter;Senica;Trnavskı;48.532215;17.3321914
Podbranè;Senica;Trnavskı;48.728413;17.4573484
Prietr;Senica;Trnavskı;48.6735042;17.4402279
Prievaly;Senica;Trnavskı;48.560026;17.3470873
Rohov;Senica;Trnavskı;48.7311913;17.3390376
Rovensko;Senica;Trnavskı;48.7184059;17.3716896
Rybky;Senica;Trnavskı;48.7079548;17.3390032
Sekule;Senica;Trnavskı;48.6079503;16.9869182
Senica;Senica;Trnavskı;48.6787557;17.3661529
Smolinské;Senica;Trnavskı;48.6755263;17.1296319
Smrdáky;Senica;Trnavskı;48.7235678;17.3068608
Sobotište;Senica;Trnavskı;48.7454941;17.4043313
Šajdíkove Humence;Senica;Trnavskı;48.649186;17.2927072
Šaštín - Stráe;Senica;Trnavskı;48.6393733;17.1428789
Štefanov;Senica;Trnavskı;48.6785286;17.1995533
Brodské;Skalica;Trnavskı;48.6950635;17.0312497
Dubovce;Skalica;Trnavskı;48.763143;17.2416003
Gbely;Skalica;Trnavskı;48.7272085;17.0826477
Holíè;Skalica;Trnavskı;48.80071;17.1461201
Chropov;Skalica;Trnavskı;48.7731833;17.3178357
Kátov;Skalica;Trnavskı;48.8324577;17.1708928
Kopèany;Skalica;Trnavskı;48.7803685;17.1063203
Koválovec;Skalica;Trnavskı;48.7833333;17.3
Letnièie;Skalica;Trnavskı;48.7048291;17.1862026
Lopašov;Skalica;Trnavskı;48.7508206;17.3292619
Mokrı Háj;Skalica;Trnavskı;48.8071949;17.2527503
Oreské;Skalica;Trnavskı;48.7451223;17.3028921
Petrova Ves;Skalica;Trnavskı;48.7208365;17.1619044
Popudinské Moèid¾any;Skalica;Trnavskı;48.7822389;17.2132896
Prietrka;Skalica;Trnavskı;48.8053483;17.2098567
Radimov;Skalica;Trnavskı;48.75;17.2
Radošovce;Skalica;Trnavskı;48.7709362;17.2857495
Skalica;Skalica;Trnavskı;48.8452079;17.2279127
Trnovec;Skalica;Trnavskı;48.7994061;17.1885112
Unín;Skalica;Trnavskı;48.725519;17.2156929
Vrádište;Skalica;Trnavskı;48.824013;17.1921551
Biely Kostol;Trnava;Trnavskı;48.3651727;17.5274882
Bíòovce;Trnava;Trnavskı;48.5042994;17.4819439
Bohdanovce nad Trnavou;Trnava;Trnavskı;48.4335161;17.5537837
Boleráz;Trnava;Trnavskı;48.4702065;17.498476
Borová;Trnava;Trnavskı;48.387792;17.4407396
Brestovany;Trnava;Trnavskı;48.3855572;17.690227
Buèany;Trnava;Trnavskı;48.4186423;17.6981932
Buková;Trnava;Trnavskı;48.5372829;17.3991578
Cífer;Trnava;Trnavskı;48.3152842;17.4900217
Dechtice;Trnava;Trnavskı;48.5480516;17.5956364
Dlhá;Trnava;Trnavskı;48.412363;17.4270308
Dobrá Voda;Trnava;Trnavskı;48.604653;17.5392882
Dolná Krupá;Trnava;Trnavskı;48.4699084;17.5655411
Dolné Dubové;Trnava;Trnavskı;48.4941492;17.5965813
Dolné Lovèice;Trnava;Trnavskı;48.3709546;17.6605331
Dolné Orešany;Trnava;Trnavskı;48.4447098;17.398579
Horná Krupá;Trnava;Trnavskı;48.5239123;17.5172733
Horné Dubové;Trnava;Trnavskı;48.5187031;17.5606775
Horné Orešany;Trnava;Trnavskı;48.4641361;17.4213172
Hrnèiarovce nad Parnou;Trnava;Trnavskı;48.3371981;17.5588842
Jaslovské Bohunice;Trnava;Trnavskı;48.4755867;17.6431121
Kátlovce;Trnava;Trnavskı;48.5207765;17.6068801
Košolná;Trnava;Trnavskı;48.4253346;17.4641884
Kriovany nad Dudváhom;Trnava;Trnavskı;48.3263823;17.6574066
Lošonec;Trnava;Trnavskı;48.4833333;17.4
Majcichov;Trnava;Trnavskı;48.2847074;17.6279515
Malenice;Trnava;Trnavskı;48.4514745;17.677334
Naháè;Trnava;Trnavskı;48.5540055;17.5148533
Opoj;Trnava;Trnavskı;48.3063157;17.6382901
Pavlice;Trnava;Trnavskı;48.2580672;17.5791968
Radošovce;Trnava;Trnavskı;48.5012675;17.6491052
Ruindol;Trnava;Trnavskı;48.3701691;17.494175
Slovenská Nová Ves;Trnava;Trnavskı;48.2908717;17.5333435
Smolenice;Trnava;Trnavskı;48.5061696;17.4153253
Suchá nad Parnou;Trnava;Trnavskı;48.4179027;17.4926428
Šelpice;Trnava;Trnavskı;48.4329912;17.5304728
Špaèince;Trnava;Trnavskı;48.4447117;17.5998862
Šúrovce;Trnava;Trnavskı;48.3330645;17.7130656
Trnava;Trnava;Trnavskı;48.3767652;17.5858175
Trstín;Trnava;Trnavskı;48.5411567;17.4697114
Vlèkovce;Trnava;Trnavskı;48.3131448;17.6495373
Voderady;Trnava;Trnavskı;48.2766783;17.558552
Zavar;Trnava;Trnavskı;48.351429;17.6726454
Zeleneè;Trnava;Trnavskı;48.3178169;17.5904039
Zvonèín;Trnava;Trnavskı;48.3999398;17.5055979
Bánovce nad Bebravou;Bánovce nad Bebravou;Trenèiansky;48.7216671;18.2598263
Borèany;Bánovce nad Bebravou;Trenèiansky;48.6563788;18.2193755
Brezolupy;Bánovce nad Bebravou;Trenèiansky;48.7015065;18.2988767
Cimenná;Bánovce nad Bebravou;Trenèiansky;48.7266632;18.1405663
Èierna Lehota;Bánovce nad Bebravou;Trenèiansky;48.8675544;18.3338423
Deerice;Bánovce nad Bebravou;Trenèiansky;48.761706;18.2133311
Dolné Naštice;Bánovce nad Bebravou;Trenèiansky;48.6905751;18.2599338
Dubnièka;Bánovce nad Bebravou;Trenèiansky;48.7680973;18.3040743
Dvorec;Bánovce nad Bebravou;Trenèiansky;48.7177422;18.212321
Haláèovce;Bánovce nad Bebravou;Trenèiansky;48.7019715;18.1949829
Horné Naštice;Bánovce nad Bebravou;Trenèiansky;48.7430273;18.2956009
Chudá Lehota;Bánovce nad Bebravou;Trenèiansky;48.6467562;18.198307
Krásna Ves;Bánovce nad Bebravou;Trenèiansky;48.8484939;18.2251999
Kšinná;Bánovce nad Bebravou;Trenèiansky;48.8080283;18.3517768
Libichava;Bánovce nad Bebravou;Trenèiansky;48.6710255;18.1752743
¼utov;Bánovce nad Bebravou;Trenèiansky;48.786782;18.2859584
Malá Hradná;Bánovce nad Bebravou;Trenèiansky;48.7590012;18.163626
Malé Hoste;Bánovce nad Bebravou;Trenèiansky;48.7028703;18.1351352
Miezgovce;Bánovce nad Bebravou;Trenèiansky;48.7200307;18.3111928
Nedašovce;Bánovce nad Bebravou;Trenèiansky;48.6679246;18.3149737
Omastiná;Bánovce nad Bebravou;Trenèiansky;48.7833333;18.3833333
Otrhánky;Bánovce nad Bebravou;Trenèiansky;48.6938138;18.2069992
Peèeòany;Bánovce nad Bebravou;Trenèiansky;48.6748284;18.227577
Podluany;Bánovce nad Bebravou;Trenèiansky;48.7709521;18.2389013
Pochabany;Bánovce nad Bebravou;Trenèiansky;48.69144;18.145388
Pravotice;Bánovce nad Bebravou;Trenèiansky;48.6823621;18.2919204
Prusy;Bánovce nad Bebravou;Trenèiansky;48.7587557;18.2703597
Ruskovce;Bánovce nad Bebravou;Trenèiansky;48.7438906;18.1903229
Rybany;Bánovce nad Bebravou;Trenèiansky;48.6667133;18.2602284
Slatina nad Bebravou;Bánovce nad Bebravou;Trenèiansky;48.8368577;18.2638167
Slatinka nad Bebravou;Bánovce nad Bebravou;Trenèiansky;48.844245;18.2416841
Šípkov;Bánovce nad Bebravou;Trenèiansky;48.8511387;18.2930533
Šišov;Bánovce nad Bebravou;Trenèiansky;48.6569743;18.1795334
Timoradza;Bánovce nad Bebravou;Trenèiansky;48.8128118;18.2498431
Trebichava;Bánovce nad Bebravou;Trenèiansky;48.8219355;18.3013058
Uhrovec;Bánovce nad Bebravou;Trenèiansky;48.7434585;18.3375919
Uhrovské Podhradie;Bánovce nad Bebravou;Trenèiansky;48.7666667;18.3833333
Ve¾ké Drkovce;Bánovce nad Bebravou;Trenèiansky;48.7350507;18.1738234
Ve¾ké Hoste;Bánovce nad Bebravou;Trenèiansky;48.6800415;18.1573767
Ve¾ké Chlievany;Bánovce nad Bebravou;Trenèiansky;48.7037841;18.2245087
Vysoèany;Bánovce nad Bebravou;Trenèiansky;48.6795607;18.318783
Zlatníky;Bánovce nad Bebravou;Trenèiansky;48.7111473;18.1225418
itná - Radiša;Bánovce nad Bebravou;Trenèiansky;48.7667926;18.3464788
Bohunice;Ilava;Trenèiansky;49.0263537;18.1871753
Bolešov;Ilava;Trenèiansky;49.0060286;18.1346394
Borèice;Ilava;Trenèiansky;48.9913634;18.121878
Èervenı Kameò;Ilava;Trenèiansky;49.107062;18.1458966
Dubnica nad Váhom;Ilava;Trenèiansky;48.9533545;18.1990151
Dulov;Ilava;Trenèiansky;49.0378981;18.253899
Horná Poruba;Ilava;Trenèiansky;48.9492446;18.3004259
Ilava;Ilava;Trenèiansky;48.9985674;18.2307598
Kamenièany;Ilava;Trenèiansky;48.9912592;18.1705638
Košeca;Ilava;Trenèiansky;49.0039151;18.2950968
Košecké Podhradie;Ilava;Trenèiansky;48.9661997;18.3241099
Krivoklát;Ilava;Trenèiansky;49.0503153;18.1413718
Ladce;Ilava;Trenèiansky;49.0267272;18.2959926
Mikušovce;Ilava;Trenèiansky;49.071229;18.1964944
Nová Dubnica;Ilava;Trenèiansky;48.9301355;18.1758392
Pruské;Ilava;Trenèiansky;49.0300043;18.2117685
Sedmerovec;Ilava;Trenèiansky;49.017315;18.1779736
Slavnica;Ilava;Trenèiansky;48.9982392;18.1813431
Tuchyòa;Ilava;Trenèiansky;49.0431219;18.2192151
Vršatské Podhradie;Ilava;Trenèiansky;49.064491;18.1520663
Zliechov;Ilava;Trenèiansky;48.940168;18.4257322
Brestovec;Myjava;Trenèiansky;48.8008787;17.5528252
Brezová pod Bradlom;Myjava;Trenèiansky;48.6719681;17.5368621
Bukovec;Myjava;Trenèiansky;48.6954285;17.4924962
Hrašné;Myjava;Trenèiansky;48.7515956;17.6725796
Chvojnica;Myjava;Trenèiansky;48.8001413;17.4067892
Jablonka;Myjava;Trenèiansky;48.7257975;17.616433
Kostolné;Myjava;Trenèiansky;48.7366134;17.7079928
Košariská;Myjava;Trenèiansky;48.662581;17.6070189
Krajné;Myjava;Trenèiansky;48.7005763;17.6871599
Myjava;Myjava;Trenèiansky;48.7554089;17.5675309
Podkylava;Myjava;Trenèiansky;48.6824567;17.6688831
Polianka;Myjava;Trenèiansky;48.7226603;17.5788018
Poriadie;Myjava;Trenèiansky;48.774029;17.5997154
Priepasné;Myjava;Trenèiansky;48.6971844;17.5858412
Rudník;Myjava;Trenèiansky;48.7565253;17.622211
Stará Myjava;Myjava;Trenèiansky;48.8068873;17.598865
Vrbovce;Myjava;Trenèiansky;48.7998174;17.468989
